3,Sumber rejeki,IO,-7.763483,110.406992,24
3,Reni jaya,IO,-7.763034,110.404605,25
3,Arya cell,IO,-7.769746,110.408117,26
3,Zubaidah,IO,-7.768467,110.405437,27
3,Leo 2 perumnas,IO,-7.764986,110.405931,28
3,Hatmoko,R,-7.776753,110.40452,29
3,Bu prapti,R,-7.77695,110.405461,30
3,Siam,R,-7.778086,110.405468,31
3,Rasyd,R,-7.780207,110.408458,32
3,Ansoruna,R,-7.778916,110.40847,33
3,B-8,R,-7.777571,110.408297,34
3,Alfirzan jaya,R,-7.775578,110.408877,35
3,Tegak lurus,R,-7.774423,110.40795,36
3,Grenaya,R,-7.771888,110.405005,37
3,Athira,R,-7.762879,110.403464,38
3,Madura,R,-7.763809,110.403503,39
3,Ashera,R,-7.76436,110.404176,40
3,Ragil,R,-7.764343,110.404667,41
3,Giyan sembako,IO,-7.764249,110.403395,42
3,Deta,R,,,43
4,Bringin Jaya,RO,-7.760954,110.394932,1
4,Pojok,RO,-7.761168,110.402906,2
4,Bu Rumi,RO,-7.76367,110.400681,3
4,Gempita mart,RO,-7.771018,110.393383,4
4,Gembira,R,-7.77146424,110.3926267,5
4,Bu Mugi,,-7.77237773,110.3938495,6
4,Alfazza,RO,-7.773534,110.391775,7
4,Dian Mart,R,-7.773234,110.391825,8
4,Arni,,-7.772122,110.395405,9
4,Beauty,R,-7.773371,110.393901,10
4,SRC Kucky,R,-7.77327371,110.3940759,11
4,Berkat tama,RO,-7.753027,110.33876,12
4,AHA Cell,R,-7.772886,110.399998,13
4,Ardaf,R,-7.77335,110.401017,14
4,Yayuk,R,-7.77339543,110.3922697,15
4,Widaryanto,R,-7.77596094,110.3906382,16
4,otik,R,-7.77597503,110.3907771,17
4,Miki,R,-7.775854,110.3914504,18
4,Bu Susi,R,-7.777959,110.398054,19
4,SRC Dibyo,,-7.77883675,110.3973279,20
4,Dewi mayang,R,-7.778856,110.3949,21
4,Cendrawasih,RO,-7.779851,110.39036,22
4,Arofa,RO,-7.772247,110.395843,23
4,Bu Barjo,RO,-7.781183,110.395772,24
