
SLMN1,Routing 1
SLMN1,Routing 2 
SLMN1,Routing 3
SLMN1,Routing 4
SLMN1,Routing 5
SLMN1,Routing 6
SLMN1,Routing 7
SLMN1,Routing 8
SLMN1,Routing 9
SLMN1,Routing 10
SLMN1,Routing 11
SLMN1,Routing 12
SLMN2,Routing 1
SLMN2,Routing 2 
SLMN2,Routing 3
SLMN2,Routing 4
SLMN2,Routing 5
SLMN2,Routing 6
SLMN2,Routing 7
SLMN2,Routing 8
SLMN2,Routing 9
SLMN2,Routing 10
SLMN2,Routing 11
SLMN2,Routing 12
SLMN3,Routing 1
SLMN3,Routing 2 
SLMN3,Routing 3
SLMN3,Routing 4
SLMN3,Routing 5
SLMN3,Routing 6
SLMN3,Routing 7
SLMN3,Routing 8
SLMN3,Routing 9
SLMN3,Routing 10
SLMN3,Routing 11
SLMN3,Routing 12
SLMN4,Routing 1
SLMN4,Routing 2 
SLMN4,Routing 3
SLMN4,Routing 4
SLMN4,Routing 5
SLMN4,Routing 6
SLMN4,Routing 7
SLMN4,Routing 8
SLMN4,Routing 9
SLMN4,Routing 10
SLMN4,Routing 11
SLMN4,Routing 12
